main_id,incident_id,incident_type,region_of_incident,incident_date,incident_year,reported_month,number_of_dead,minimum_estimated_number_of_missing,total_number_of_dead_and_missing,number_of_survivors,number_of_females,number_of_males,number_of_children,region_of_origin,cause_of_death,migration_route,location_of_death,information_source,coordinates,unsd_geographical_grouping,article_title,source_quality,url,lon,lat,death_cause_clean
2017.MMP00301,2017.MMP00301,Incident,Mediterranean,2017-04-14,2017,April,1.0,,1,,,1.0,,Sub-Saharan Africa (P),Drowning,Western Mediterranean,"Body found in the coast of Benzú, Ceuta, Spain, near the border with Belyounech, Morocco",Asociación Pro Derechos Humanos de Andalucía, -5.38081197 35.91348956,Uncategorized,Hallado el cadáver de un subsahariano en el espigón que separa Beliones de Benzú,3.0,http://bit.ly/2tFF4lx,-5.38081197,35.91348956,Drowning
2017.MMP00302,2017.MMP00302,Incident,North America,2017-04-15,2017,April,1.0,,1,,,1.0,,Central America,Mixed or unknown,US-Mexico border crossing,"2.5 Miles east and 1 mile north of 45742 US Highway 281, San Manuel, Hidalgo County, Texas, USA",Hidalgo County Sheriff's Office, -98.0838125 26.5758125,Northern America,,5.0,,-98.0838125,26.5758125,Mixed or unknown
2017.MMP00303,2017.MMP00303,Incident,Mediterranean,2017-04-15,2017,April,5.0,,5,101.0,,,,Western Africa,Drowning,Central Mediterranean,"Off the coast of Qarabulli, Libya",IOM Libya, 13.7044104 32.7921384,Uncategorized,,4.0,,13.7044104,32.7921384,Drowning
2017.MMP00304,2017.MMP00304,Incident,Mediterranean,2017-04-16,2017,April,13.0,20.0,33,,2.0,4.0,1.0,Sub-Saharan Africa (P),Drowning,Central Mediterranean,Unspecified location between North Africa and Italy,"IOM Italy, BBC", 13.0488502 35.0991392,Uncategorized,Migrant boats: Thousands saved off Libyan coast over Easter,4.0,http://bbc.in/2ohlVUv,13.0488502,35.0991392,Drowning
2017.MMP00305,2017.MMP00305,Incident,Mediterranean,2017-04-16,2017,April,2.0,,2,,,,,Unknown,Drowning,Central Mediterranean,Unspecified location between North Africa and Italy,"UNHCR, MSF", 13.15420126 34.42282631,Uncategorized,,4.0,,13.15420126,34.42282631,Drowning
2017.MMP00306,2017.MMP00306,Incident,Mediterranean,2017-04-16,2017,April,7.0,,7,,,,,Unknown,Drowning,Central Mediterranean,Unspecified location between North Africa and Italy,"IOM Italy, Augusta Prefecture", 14.4455093 36.3478548,Uncategorized,,5.0,,14.4455093,36.3478548,Drowning
2017.MMP00307,2017.MMP00307,Incident,North America,2017-04-17,2017,April,1.0,,1,,,1.0,,Latin America / Caribbean (P),Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME), -112.12161 31.79776,Northern America,,5.0,,-112.12161,31.79776,Mixed or unknown
2017.MMP00308,2017.MMP00308,Incident,North America,2017-04-17,2017,April,1.0,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,US-Mexico border crossing,"West Ranch, Brooks County, Texas",South Texas Human Rights Center, -98.09280396 27.09277144,Northern America,,4.0,,-98.09280396,27.09277144,Mixed or unknown
2017.MMP00309,2017.MMP00309,Incident,Southern Asia,2017-04-17,2017,April,1.0,,1,,,1.0,,Southern Asia,Vehicle accident / death linked to hazardous transport,Afghanistan to Iran,"Asfhan province, Iran",IOM Afghanistan, 52.3613378 33.2771073,Southern Asia,,4.0,,52.3613378,33.2771073,Vehicle accident
2017.MMP00310,2017.MMP00310,Incident,Mediterranean,2017-04-18,2017,April,,30.0,30,,,,,Mixed,Drowning,Central Mediterranean,Unspecified location between North Africa and Italy,IOM Italy, 13.0488502 35.0991392,Uncategorized,,4.0,,13.0488502,35.0991392,Drowning
2017.MMP00311,2017.MMP00311,Incident,Mediterranean,2017-04-18,2017,April,4.0,,4,,,,,Mixed,Vehicle accident / death linked to hazardous transport,Central Mediterranean,Unspecified location between North Africa and Italy,IOM Italy, 13.0488502 35.0991392,Uncategorized,,4.0,,13.0488502,35.0991392,Vehicle accident
2017.MMP00312,2017.MMP00312,Incident,Mediterranean,2017-04-18,2017,April,,10.0,10,,,,,Mixed,Drowning,Central Mediterranean,Unspecified location between North Africa and Italy,IOM Italy, 13.0488502 35.0991392,Uncategorized,,4.0,,13.0488502,35.0991392,Drowning
2017.MMP00313,2017.MMP00313,Incident,Mediterranean,2017-04-18,2017,April,,7.0,7,,,,,Mixed,Drowning,Central Mediterranean,Unspecified location between North Africa and Italy,IOM Italy, 13.0488502 35.0991392,Uncategorized,,4.0,,13.0488502,35.0991392,Drowning
2017.MMP00314,2017.MMP00314,Incident,Mediterranean,2017-04-18,2017,April,,17.0,17,,,,,Mixed,Drowning,Central Mediterranean,Unspecified location between North Africa and Italy,IOM Italy, 13.0488502 35.0991392,Uncategorized,,4.0,,13.0488502,35.0991392,Drowning
2017.MMP00315,2017.MMP00315,Incident,Mediterranean,2017-04-18,2017,April,28.0,,28,,4.0,,,Unknown,"Harsh environmental conditions / lack of adequate shelter, food, water",Central Mediterranean,"Off the coast of Sabratha, Libya",Reuters, 12.4152649 32.791284,Uncategorized,,1.0,http://reut.rs/2pfuCTr,12.4152649,32.791284,Harsh environmental conditions
2017.MMP00316,2017.MMP00316,Incident,Mediterranean,2017-04-18,2017,April,,35.0,35,,,,,Mixed,Drowning,Central Mediterranean,Unspecified location between North Africa and Italy,IOM Italy, 13.0488502 35.0991392,Uncategorized,,4.0,,13.0488502,35.0991392,Drowning
2017.MMP00317,2017.MMP00317,Incident,Central America,2017-04-19,2017,April,1.0,,1,,,1.0,,Latin America / Caribbean (P),Drowning,US-Mexico border crossing,"Rio Bravo, Puente Internacional III del Comercio Mundial, Nuevo Laredo, Tamaulipas, Mexico",Lider Informativo, -99.5698487 27.4565378,Central America,Recuperan cuerpo de migrante ahogado en el Bravo,1.0,http://bit.ly/2opth88,-99.5698487,27.4565378,Drowning
2017.MMP00318,2017.MMP00318,Incident,Central America,2017-04-20,2017,April,1.0,,1,,,1.0,,Central America,Drowning,US-Mexico border crossing,"Rio Bravo, Nueva Ciudad Guerrero, Tamaulipas, Mexico",La Prensa, -99.2378544 26.5634143,Central America,Perece hondureño ahogado en el río Bravo,3.0,http://bit.ly/2q6dMTp,-99.2378544,26.5634143,Drowning
2017.MMP00319,2017.MMP00319,Incident,Central America,2017-04-20,2017,April,1.0,,1,,,1.0,,Central America,Drowning,US-Mexico border crossing,"Rio Bravo, Matamoros, Tamaulipas, Mexico",Hoy Tamaulipas, -97.5613236 25.8487649,Central America,En Matamoros: flota cuerpo en el Río Bravo,1.0,http://bit.ly/2pWh9M8,-97.5613236,25.8487649,Drowning
2017.MMP00320,2017.MMP00320,Incident,North America,2017-04-20,2017,April,1.0,,1,,,1.0,,Latin America / Caribbean (P),Drowning,US-Mexico border crossing,"Abram Road & Military Road, Mission, Hidalgo County, Texas, USA",Hidalgo County Sheriff's Office, -98.4066512 26.196888,Northern America,,5.0,,-98.4066512,26.196888,Drowning
2017.MMP00321,2017.MMP00321,Incident,Southern Asia,2017-04-20,2017,April,3.0,,3,15.0,,,,Southern Asia,Vehicle accident / death linked to hazardous transport,Afghanistan to Iran,"Kerman Province, Iran",The Voice of Refugees, 56.6860238 29.6706007,Southern Asia,,4.0,http://bit.ly/2pq1aJE,56.6860238,29.6706007,Vehicle accident
2017.MMP00322,2017.MMP00322,Incident,Europe,2017-04-21,2017,April,1.0,,1,,,1.0,,Unknown,Sickness / lack of access to adequate healthcare,,"Hospital in Bari, Italy days after arriving via Central Med",Corriere del messogiorno, 16.7755346 41.111268,Southern Europe,Migrante morto lo dopo sbarco A Bari profilassi antimeningite,1.0,http://bit.ly/2qbPwme,16.7755346,41.111268,Sickness inadequate healthcare access
2017.MMP00323,2017.MMP00323,Incident,North America,2017-04-21,2017,April,1.0,,1,,,1.0,,Latin America / Caribbean (P),Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME), -111.57253 32.2623,Northern America,,5.0,,-111.57253,32.2623,Mixed or unknown
2017.MMP00324,2017.MMP00324,Incident,Mediterranean,2017-04-23,2017,April,1.0,,1,,1.0,,,Mixed,Mixed or unknown,Central Mediterranean,Unspecified location between North Africa and Italy,IOM Italy, 13.0488502 35.0991392,Uncategorized,"One dead as 1,000 refugees rescued in the Mediterranean",4.0,http://bit.ly/2omFNoT,13.0488502,35.0991392,Mixed or unknown
2017.MMP00325,2017.MMP00325,Incident,Mediterranean,2017-04-24,2017,April,16.0,7.0,23,2.0,6.0,8.0,2.0,Mixed,Drowning,Eastern Mediterranean,"Off the coast of Molyvos, Lesvos, Greece",IOM Greece, 26.1667672 39.3660851,Uncategorized,At least 15 drown as migrant boat sinks off Greece's Lesbos,4.0,http://reut.rs/2oYrIkv,26.1667672,39.3660851,Drowning
2017.MMP00326,2017.MMP00326,Incident,Europe,2017-04-24,2017,April,1.0,,1,14.0,,1.0,,Southern Asia,Vehicle accident / death linked to hazardous transport,Western Balkans,"Near Xanthi, Greece",AP, 24.8776355 41.1378552,Southern Europe,"Migrant van carrying Bangladeshis, Pakistanis crashes killing Iranian",1.0,http://bit.ly/2orzULu,24.8776355,41.1378552,Vehicle accident
2017.MMP00327,2017.MMP00327,Incident,Southern Asia,2017-04-24,2017,April,1.0,,1,,,1.0,,Southern Asia,Vehicle accident / death linked to hazardous transport,Afghanistan to Iran,"Iranshahr, Sistan and Baluchestan province, Iran",IOM Afghanistan, 60.6865817 27.2012,Southern Asia,,4.0,,60.6865817,27.2012,Vehicle accident
2017.MMP00328,2017.MMP00328,Incident,Southern Asia,2017-04-24,2017,April,1.0,,1,,,1.0,,Western / Southern Asia (P),Mixed or unknown,,"Malviya Nagar District, Delhi, India",Mixed Migration Monitoring Mechanism Initative (4mi), 77.207481 28.530221,Southern Asia,,2.0,http://www.mixedmigration.org/4mi/,77.207481,28.530221,Mixed or unknown
2017.MMP00329,2017.MMP00329,Incident,North America,2017-04-24,2017,April,1.0,,1,,,1.0,,Central America,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME), -113.11729 32.34637,Northern America,,5.0,,-113.11729,32.34637,Mixed or unknown
2017.MMP00330,2017.MMP00330,Incident,Northern Africa,2017-04-26,2017,April,15.0,,15,,,,,Sub-Saharan Africa (P),Violence,Sahara Desert crossing,"Between Ash Shwayrif and Bani Wahled, Libya",IOM Libya, 13.9835368 31.8214687,Northern Africa,,4.0,,13.9835368,31.8214687,Violence
2017.MMP00331,2017.MMP00331,Incident,North America,2017-04-26,2017,April,1.0,,1,,,1.0,,Latin America / Caribbean (P),Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME), -112.988183 31.9758,Northern America,,5.0,,-112.988183,31.9758,Mixed or unknown
2017.MMP00332,2017.MMP00332,Incident,Mediterranean,2017-04-26,2017,April,1.0,,1,,,,,Unknown,Mixed or unknown,Central Mediterranean,"Near Tobruk, Libya",IOM Libya, 23.9335781 32.1125451,Uncategorized,,4.0,,23.9335781,32.1125451,Mixed or unknown
2017.MMP00333,2017.MMP00333,Incident,Caribbean,2017-04-27,2017,April,,8.0,8,,,,,Caribbean,Drowning,Dominican Republic to Puerto Rico,"Unspecified location in the Mona Passage, between the Dominican Republic and Puerto Rico","CDN, Hoy Digital", -68.2693061 18.4753002,Caribbean,"Armada intensifica búsqueda de viajeros que habrían naufragado en Canal de la Mona, Sin rastros de diez desaparecidos en alta mar desde jueves",3.0,http://bit.ly/2pJHjmN,-68.2693061,18.4753002,Drowning
2017.MMP00334,2017.MMP00334,Incident,Central America,2017-04-28,2017,April,1.0,,1,,1.0,,,Latin America / Caribbean (P),Vehicle accident / death linked to hazardous transport,,"Train tracks near Maquipo, Sinaloa, Mexico",Luz Noticias, -108.7904701 26.0669181,Central America,Muere mujer cuando viajaba de trampa en el municipio de Sinaloa,1.0,http://bit.ly/2stKl1t,-108.7904701,26.0669181,Vehicle accident
2017.MMP00335,2017.MMP00335,Incident,Southern Asia,2017-04-29,2017,April,1.0,,1,,1.0,,,Western / Southern Asia (P),Mixed or unknown,Iran to Turkey,"Urmia, West Azerbaijan province, Iran",Mixed Migration Monitoring Mechanism Initative (4mi), 45.032599 37.608409,Southern Asia,,,,45.032599,37.608409,Mixed or unknown
2017.MMP00336,2017.MMP00336,Incident,Western Asia,2017-04-29,2017,April,2.0,,2,,2.0,,,Western / Southern Asia (P),Violence,,"Adana province, Turkey",Mixed Migration Monitoring Mechanism Initative (4mi), 35.496817 36.756915,Western Asia,,2.0,http://www.mixedmigration.org/4mi/,35.496817,36.756915,Violence
2017.MMP00337,2017.MMP00337,Incident,Northern Africa,2017-04-29,2017,April,1.0,,1,,,,,Unknown,Sickness / lack of access to adequate healthcare,,"Subratah, Libya",MHub, 12.52299317 32.78400606,Northern Africa,MHub Survey Data Italy 2017,2.0,,12.52299317,32.78400606,Sickness inadequate healthcare access
2017.MMP00338,2017.MMP00338,Incident,Northern Africa,2017-04-29,2017,April,2.0,,2,,,,,Unknown,"Harsh environmental conditions / lack of adequate shelter, food, water",,"Subratah, Libya",MHub, 12.49415406 32.79670521,Northern Africa,MHub Survey Data Italy 2017,2.0,,12.49415406,32.79670521,Harsh environmental conditions
2017.MMP00339,2017.MMP00339,Incident,Western Africa,2017-04-29,2017,April,1.0,,1,,,,,Unknown,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,"Sahara Desert, between Agadez, Niger and Tripoli, Libya",MHub, 9.22882002 20.34033663,Western Africa,MHub Survey Data Italy 2017,2.0,,9.22882002,20.34033663,Harsh environmental conditions
2017.MMP00340,2017.MMP00340,Incident,Northern Africa,2017-04-29,2017,April,6.0,,6,,,,,Unknown,Violence,Sahara Desert crossing,"Bani Walid, Libya",MHub, 14.03719651 31.83959204,Northern Africa,MHub Survey Data Italy 2017,2.0,,14.03719651,31.83959204,Violence
2017.MMP00341,2017.MMP00341,Incident,Northern Africa,2017-04-29,2017,April,1.0,,1,,,,,Unknown,Violence,,"Subratah, Libya",MHub, 12.4495221 32.80188175,Northern Africa,MHub Survey Data Italy 2017,2.0,,12.4495221,32.80188175,Violence
2017.MMP00342,2017.MMP00342,Incident,Southern Asia,2017-05-01,2017,May,1.0,,1,,,1.0,,Western / Southern Asia (P),Violence,,"Kermanshah province, Iran",Mixed Migration Monitoring Mechanism Initative (4mi), 46.394393 34.345054,Southern Asia,,2.0,http://www.mixedmigration.org/4mi/,46.394393,34.345054,Violence
2017.MMP00343,2017.MMP00343,Incident,Mediterranean,2017-05-01,2017,May,6.0,,6,,,,,Unknown,Drowning,Central Mediterranean,42 nautical miles from Libya,"MSF_Sea, IOM Italy", 13.3421741 32.9739028,Uncategorized,,4.0,http://bit.ly/2pKsMsS,13.3421741,32.9739028,Drowning
2017.MMP00344,2017.MMP00344,Incident,Mediterranean,2017-05-02,2017,May,1.0,,1,,,,,Unknown,Drowning,Central Mediterranean,"Body washed up on Farwa Island, Libya",IOM Libya, 11.7097945 33.1052674,Uncategorized,,4.0,,11.7097945,33.1052674,Drowning
2017.MMP00345,2017.MMP00345,Incident,Europe,2017-05-02,2017,May,1.0,,1,,,1.0,,Unknown,Vehicle accident / death linked to hazardous transport,,"Eurostar train, Gare du Nord, Paris, France",The Independent, 2.353125 48.8809481,Western Europe,Refugee electrocuted while attempting to climb on Eurostar train heading for UK,4.0,http://ind.pn/2oUN43C,2.353125,48.8809481,Vehicle accident
2017.MMP00346,2017.MMP00346,Incident,Central America,2017-05-02,2017,May,1.0,,1,,,1.0,,Latin America / Caribbean (P),Drowning,US-Mexico border crossing,"Río Bravo, near Rancho San Ricardo, Nuevo Laredo, Tamaulipas, Mexico","La Jornada, Líder Informativo", -99.5698487 27.4565378,Central America,Rescatan cuerpos de 3 migrantes en el Río Bravo / Tres cuerpos son recuperados en en diferentes áreas del Río Bravo,3.0,http://bit.ly/2oVr1K9,-99.5698487,27.4565378,Drowning
2017.MMP00347,2017.MMP00347,Incident,Central America,2017-05-02,2017,May,1.0,,1,,,1.0,,Latin America / Caribbean (P),Drowning,US-Mexico border crossing,"Rio Bravo, El Patinadero, Parque Viveros, Nuevo Laredo, Tamaulipas, Mexico","La Jornada, Líder Informativo", -99.480441 27.478185,Central America,Rescatan cuerpos de 3 migrantes en el Río Bravo / Tres cuerpos son recuperados en en diferentes áreas del Río Bravo,3.0,http://bit.ly/2oVr1K9,-99.480441,27.478185,Drowning
2017.MMP00348,2017.MMP00348,Incident,Western Africa,2017-05-02,2017,May,8.0,,8,,2.0,1.0,5.0,Sub-Saharan Africa (P),"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,"Desert outside Arlit, Niger",VOA Afrique, 7.3730705 18.7390511,Western Africa,Au moins huit migrants retrouvés morts de soif dans le désert au Niger,1.0,http://bit.ly/2oWHaza,7.3730705,18.7390511,Harsh environmental conditions
2017.MMP00349,2017.MMP00349,Incident,North America,2017-05-03,2017,May,1.0,,1,,,1.0,,Latin America / Caribbean (P),Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME), -113.118367 32.328767,Northern America,,5.0,,-113.118367,32.328767,Mixed or unknown
2017.MMP00350,2017.MMP00350,Incident,Mediterranean,2017-05-03,2017,May,19.0,,19,,,,,Unknown,Drowning,Central Mediterranean,"Unspecified location off Subratah, Libya",IOM Italy, 18.04763026 31.84297831,Uncategorized,,4.0,http://www.libyaakhbar.com/libya-news/322717.html,18.04763026,31.84297831,Drowning
2017.MMP00351,2017.MMP00351,Incident,Mediterranean,2017-05-04,2017,May,1.0,,1,,,1.0,,Western Africa,Violence,Central Mediterranean,Unspecified location near Libya,Reuters, 19.03639979 30.37566359,Uncategorized,"Libya-based smugglers kill man for baseball hat, rescued migrants say",1.0,http://reut.rs/2pq3kWT,19.03639979,30.37566359,Violence
2017.MMP00352,2017.MMP00352,Incident,Central America,2017-05-03,2017,May,1.0,,1,,,1.0,,Latin America / Caribbean (P),Vehicle accident / death linked to hazardous transport,,"Train tracks near Choix, 8km north of Estación Loreto, Sinaloa, Mexico",Debate, -108.44393939 26.71749178,Central America,“Trampa” fallece al ser arrollado por el tren,3.0,http://bit.ly/2Afrc7D,-108.44393939,26.71749178,Vehicle accident
2017.MMP00353,2017.MMP00353,Incident,Central America,2017-05-04,2017,May,2.0,,2,7.0,,2.0,,Central America,Vehicle accident / death linked to hazardous transport,,"KM 185, Federal Highway 180 Cardel-Poza Rica, near Totomoxtle, Veracruz, Mexico",Notiver, -97.258777 20.4660351,Central America,Tragedia de migrantes: dos muertos y tres lesionados,1.0,http://bit.ly/2tu96JF,-97.258777,20.4660351,Vehicle accident
2017.MMP00354,2017.MMP00354,Incident,Central America,2017-05-05,2017,May,1.0,,1,,,1.0,,South America,Drowning,US-Mexico border crossing,"Río Bravo, between Reynosa and Díaz Ordaz, Tamaulipas, Mexico",La Tarde, -98.3662434 26.0525676,Central America,Flota ahogado en el Río Bravo,1.0,http://www.latarde.com.mx/flotaahogadoenelriobravo-383331.html,-98.3662434,26.0525676,Drowning
2017.MMP00355,2017.MMP00355,Incident,North America,2017-05-06,2017,May,1.0,,1,,,1.0,,Latin America / Caribbean (P),Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME), -113.00212 32.11713,Northern America,,5.0,,-113.00212,32.11713,Mixed or unknown
2017.MMP00356,2017.MMP00356,Incident,Central America,2017-05-06,2017,May,1.0,,1,,,1.0,,Latin America / Caribbean (P),Drowning,US-Mexico border crossing,"Rio Bravo, El Patinadero, Parque Viveros, Nuevo Laredo, Tamaulipas, Mexico",Hoy Tamaulipas, -99.480441 27.478185,Central America,Rescatan cuerpo de ahogado en el Río Bravo por Nuevo Laredo,1.0,http://www.hoytamaulipas.net/notas/294035/Rescatan-cuerpo-de-ahogado-en-el-rio-Bravo-por-Nuevo-Laredo%C2%A0.html,-99.480441,27.478185,Drowning
2017.MMP00357,2017.MMP00357,Incident,Central America,2017-05-06,2017,May,1.0,,1,,,1.0,,Latin America / Caribbean (P),Vehicle accident / death linked to hazardous transport,,"Colonia Amapolas, Hermosillo, Sonora, Mexico",Expreso, -110.9559192 29.0729673,Central America,Fallece migrante a un costado de las vías del tren de la Colonia Amapolas,1.0,http://bit.ly/2q2PniF,-110.9559192,29.0729673,Vehicle accident
2017.MMP00358,2017.MMP00358,Incident,Central America,2017-05-06,2017,May,1.0,,1,3.0,,1.0,,Central America,Drowning,,"Playa El Bebé, Rosarito, Baja California, Mexico",Prensa Libre, -117.1274425 32.3594779,Central America,Quetzalteco muere durante travesía para llegar a la frontera con EE.UU.,1.0,http://bit.ly/2q60War,-117.1274425,32.3594779,Drowning
2017.MMP00359,2017.MMP00359,Incident,Mediterranean,2017-05-07,2017,May,,82.0,82,50.0,,,,Mixed,Drowning,Central Mediterranean,Unspecified location between Libya and Italy,UNHCR, 12.7423968 35.5321535,Uncategorized,Ottanta migranti morti in naufragio nel Mediterraneo,4.0,http://bit.ly/2Ak0mbS,12.7423968,35.5321535,Drowning
2017.MMP00360,2017.MMP00360,Incident,Mediterranean,2017-05-07,2017,May,,113.0,113,7.0,30.0,,9.0,Mixed,Drowning,Central Mediterranean,"Unspecified location off AzZawiyah, Libya",IOM Libya, 12.6964611 32.7812306,Uncategorized,,4.0,,12.6964611,32.7812306,Drowning
2017.MMP00361,2017.MMP00361,Incident,Central America,2017-05-07,2017,May,1.0,,1,,,1.0,,Latin America / Caribbean (P),Drowning,US-Mexico border crossing,"Rio Bravo, Parque Viveros, Nuevo Laredo, Tamaulipas, Mexico",El Mañana, -99.480441 27.478185,Central America,Pescan en el Bravo cuerpo de ahogado,1.0,http://elmanana.com.mx/noticia/134859/Pescan-en-el-Bravo-cuerpo-de-ahogado.html,-99.480441,27.478185,Drowning
2017.MMP00362,2017.MMP00362,Incident,Eastern Africa,2017-05-07,2017,May,1.0,10.0,11,13.0,1.0,,,Eastern Africa,Drowning,Comoros to Mayotte,"Off the coast of Domoni, Anjouan, Comoros - en route to Mayotte (France)",La Gazette des Comores, 44.757493 -12.5752601,Eastern Africa,Traversée vers Mayotte / Un naufrage de Kwasa a fait un mort et une dizaine de disparus,1.0,http://bit.ly/2r0Jjr6,44.757493,-12.5752601,Drowning
2017.MMP00363,2017.MMP00363,Incident,Southern Asia,2017-05-08,2017,May,9.0,,9,,,9.0,,Western / Southern Asia (P),Violence,,"Sistan and Baluchestan Province Iran, near border with Pakistan",Mixed Migration Monitoring Mechanism Initative (4mi), 62.706256 27.406942,Southern Asia,,2.0,http://www.mixedmigration.org/4mi/,62.706256,27.406942,Violence
2017.MMP00364,2017.MMP00364,Incident,Southern Asia,2017-05-09,2017,May,1.0,,1,,,1.0,1.0,Southern Asia,Violence,Afghanistan to Iran,"Asfhan province, Iran",IOM Afghanistan, 52.3613378 33.2771073,Southern Asia,,4.0,,52.3613378,33.2771073,Violence
2017.MMP00365,2017.MMP00365,Incident,Southern Asia,2017-05-11,2017,May,1.0,,1,,,1.0,,Southern Asia,Vehicle accident / death linked to hazardous transport,Afghanistan to Iran,"Asfhan province, Iran",IOM Afghanistan, 52.3613378 33.2771073,Southern Asia,,4.0,,52.3613378,33.2771073,Vehicle accident
2017.MMP00366,2017.MMP00366,Incident,Southern Asia,2017-05-11,2017,May,1.0,,1,,,1.0,,Southern Asia,Vehicle accident / death linked to hazardous transport,Afghanistan to Iran,"Asfhan province, Iran",IOM Afghanistan, 52.3613378 33.2771073,Southern Asia,,4.0,,52.3613378,33.2771073,Vehicle accident
2017.MMP00367,2017.MMP00367,Incident,Southern Asia,2017-05-11,2017,May,1.0,,1,,,1.0,,Southern Asia,Vehicle accident / death linked to hazardous transport,Afghanistan to Iran,"Asfhan province, Iran",IOM Afghanistan, 52.3613378 33.2771073,Southern Asia,,4.0,,52.3613378,33.2771073,Vehicle accident
2017.MMP00368,2017.MMP00368,Incident,Central America,2017-05-13,2017,May,1.0,,1,,,1.0,,Latin America / Caribbean (P),Vehicle accident / death linked to hazardous transport,,"KM 43, Las Choapas, near Coatzacoalcos, Veracruz, Mexico ",Central Noticias Imagen del Golfo, -94.0875367 17.9125475,Central America,Muere migrante al caer del tren en Las Choapas,1.0,http://bit.ly/2pB9xTJ,-94.0875367,17.9125475,Vehicle accident
2017.MMP00371,2017.MMP00371,Incident,Caribbean,2017-05-13,2017,May,1.0,,1,,,1.0,,Caribbean,Drowning,,"Euleuthera Island, Bahamas",Antigua Observer, -76.17220031 25.10864487,Caribbean,Body of Haitian migrant found on beach in The Bahamas,1.0,http://bit.ly/2qnCul6,-76.17220031,25.10864487,Drowning
2017.MMP00372,2017.MMP00372,Incident,Eastern Africa,2017-05-14,2017,May,8.0,,8,,,8.0,,Eastern Africa,Vehicle accident / death linked to hazardous transport,,"In truck in Mbinga, Ruvuma region, Tanzania, en route to South Africa",IOM Tanzania, 30.0653555 -10.3309998,Eastern Africa,Eight illegal immigrant corpses found in truck in Mbinga district,4.0,http://bit.ly/2tDX1R8,30.0653555,-10.3309998,Vehicle accident
2017.MMP00373,2017.MMP00373,Incident,Central America,2017-05-14,2017,May,1.0,,1,,,1.0,,Latin America / Caribbean (P),Drowning,US-Mexico border crossing,"Rio Bravo, Puente Internacional II, Nuevo Laredo, Tamaulipas, Mexico",Líder Informativo, -99.50242991 27.49997261,Central America,Recuperan cuerpo del Río Bravo,1.0,http://bit.ly/2pRDWsd,-99.50242991,27.49997261,Drowning
2017.MMP00374,2017.MMP00374,Incident,North America,2017-05-15,2017,May,1.0,,1,,,1.0,,Latin America / Caribbean (P),Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME), -111.806183 31.884333,Northern America,,5.0,,-111.806183,31.884333,Mixed or unknown
2017.MMP00375,2017.MMP00375,Incident,Mediterranean,2017-05-15,2017,May,7.0,13.0,20,484.0,2.0,5.0,,Mixed,Mixed or unknown,Central Mediterranean,"Unspecified location in the Channel of Sicily, off the coast of Italy",IOM Italy, 13.30281545 35.20506085,Uncategorized,"Italy rescues 484 migrants in Mediterranean, finds 7 bodies",4.0,http://bit.ly/2qinvZX,13.30281545,35.20506085,Mixed or unknown
2017.MMP00376,2017.MMP00376,Incident,Mediterranean,2017-05-15,2017,May,,1.0,1,6.0,,,,Western Africa,Drowning,Western Mediterranean,"Gibraltar Strait, off the coast of Tangiers, Morocco",Salvamento Marítimo and NGO Caminando Fronteras via Twitter / Cadena SER, -5.77640296 35.84634379,Uncategorized,,4.0,http://bit.ly/2qmExWm,-5.77640296,35.84634379,Drowning
2017.MMP00377,2017.MMP00377,Incident,Southern Asia,2017-05-15,2017,May,1.0,,1,,1.0,,,Southern Asia,Violence,,"Pakistan Indian border, near Gurdaspur, Punjab, India",The Hindu, 75.390906 32.0426561,Southern Asia,Pakistani women intruder shot dead in Gurdaspur,1.0,http://bit.ly/2qWDX0o,75.390906,32.0426561,Violence
2017.MMP00378,2017.MMP00378,Incident,Southern Asia,2017-05-15,2017,May,1.0,,1,,,1.0,,Southern Asia,Vehicle accident / death linked to hazardous transport,Afghanistan to Iran,"Sarwan, Sistan and Baluchestan province, Iran",IOM Afghanistan, 62.3447815 27.3526033,Southern Asia,,4.0,,62.3447815,27.3526033,Vehicle accident
